"return" "time"
"141" 0.00827969706658537 1995-07-24
"142" 0.0094076511765906 1995-07-25
"143" 0.00394909293429357 1995-07-26
"144" 0.00267487626281249 1995-07-27
"145" -0.00580622489709934 1995-07-28
"146" -0.00189408170510662 1995-07-31
"147" -0.00711629064910843 1995-08-01
"148" 0.0134586129380069 1995-08-02
"149" -7.85924774686277e-05 1995-08-03
"150" 0.00581535074787273 1995-08-04
"151" 0.00718803420701746 1995-08-07
"152" 0.0155923026412635 1995-08-08
"153" -0.000534641538839517 1995-08-09
"154" -0.00206345234016496 1995-08-10
"155" -0.0139377889078829 1995-08-11
"156" 0.0028735548208347 1995-08-14
"157" 0.00348486012367233 1995-08-15
"158" 0.014199688823159 1995-08-16
"159" -0.00684827275319447 1995-08-17
"160" 0.00429053488833114 1995-08-18
"161" -0.000152604187953 1995-08-21
"162" 0.00625666834917349 1995-08-22
"163" -0.00128903796962353 1995-08-23
"164" 0.00706095352984752 1995-08-24
"165" 0.015380010934768 1995-08-25
"166" 0.0499703362818337 1995-08-28
"167" -0.0105367378738898 1995-08-29
"168" -0.00314466161892593 1995-08-30
"169" -0.0051620302687392 1995-08-31
"170" -0.000648661267437324 1995-09-01
"171" 0.00144232698946543 1995-09-05
"172" 0.00712894962078004 1995-09-06
"173" 0.00157300048199706 1995-09-07
"174" 0.0107795305876016 1995-09-08
"175" 0.00911083900052306 1995-09-11
"176" 0.00412931153474777 1995-09-12
"177" -0.00174249164579681 1995-09-13
"178" 0.0129172104967453 1995-09-14
"179" 0.010477641242911 1995-09-15
"180" -0.012961257612718 1995-09-18
"181" 0.0139608803891373 1995-09-19
"182" 0.00211300160023828 1995-09-20
"183" -0.014419844945901 1995-09-21
"184" -0.00310557116596049 1995-09-22
"185" 0.00117690422081873 1995-09-25
"186" -0.00041487403464277 1995-09-26
"187" 0.0106529893117854 1995-09-27
"188" 0.0127309810146137 1995-09-28
"189" -0.00391994028801355 1995-09-29
"190" 0.000814172027553447 1995-10-02
"191" 0.0105084976504014 1995-10-03
"192" 0.0157665603165404 1995-10-04
"193" -0.000858715035583248 1995-10-05
"194" 0.00396644804917637 1995-10-06
"195" -0.00217294118633228 1995-10-09
"196" -0.00178167160659657 1995-10-10
"197" 0.00495799179335383 1995-10-11
"198" 0.0208525510444072 1995-10-12
"199" -0.00212643745800552 1995-10-13
"200" -0.00232464489838702 1995-10-16
"201" 0.00388348910482494 1995-10-17
"202" -0.0064474462171084 1995-10-18
"203" -0.0148605411431247 1995-10-19
"204" -0.0216718011674286 1995-10-20
"205" 0.00605982694443404 1995-10-23
"206" -0.0273056052265274 1995-10-24
"207" -0.0254575308339217 1995-10-25
"208" -0.00628355280537974 1995-10-26
"209" 0.0242983622087566 1995-10-27
"210" -0.0117222112906548 1995-10-30
"211" -0.011089324606767 1995-10-31
"212" 0.0195883544023047 1995-11-01
"213" 0.0273562903636657 1995-11-02
"214" -0.011924909501109 1995-11-03
"215" -0.00157723641608703 1995-11-06
"216" -0.00769230689422011 1995-11-07
"217" 0.017995635314499 1995-11-08
"218" 0.0105384302471874 1995-11-09
"219" 0.00161474190374801 1995-11-10
"220" -0.0112849710106626 1995-11-13
"221" -0.0158978188651481 1995-11-14
"222" -0.00538489345589441 1995-11-15
"223" 0.0139515194816347 1995-11-16
"224" 0.0140334589466589 1995-11-17
"225" -0.00222782228934235 1995-11-20
"226" 0.0128552585706811 1995-11-21
"227" 0.000935186389987338 1995-11-22
"228" 0.00166846975266529 1995-11-24
"229" 0.00126588166771929 1995-11-27
"230" 0.00159701279780564 1995-11-28
"231" -0.000199278649971358 1995-11-29
"232" 0.0100338666932424 1995-11-30
"233" -0.00144735837220492 1995-12-01
"234" 0.0231914267482758 1995-12-04
"235" 0.00160977476196502 1995-12-05
"236" 0.0165863542278692 1995-12-06
"237" -0.0222601759142946 1995-12-07
"238" 0.00491555752537135 1995-12-08
"239" -0.0105554260075782 1995-12-11
"240" -0.00331749878368651 1995-12-12
"241" 0.0011747634355647 1995-12-13
"242" -0.0164276404669265 1995-12-14
"243" -0.00762193821881439 1995-12-15
"244" -0.013490967784315 1995-12-18
"245" 0.0203778224810413 1995-12-19
"246" -0.00597133739825761 1995-12-20
"247" -0.00780940767197591 1995-12-21
"248" -0.00147994857452392 1995-12-22
"249" 0.00269487189021599 1995-12-26
"250" 0.0019485266958335 1995-12-27
"251" 0.00268234708579448 1995-12-28
"252" -0.00127072590758218 1995-12-29
"253" -0.00180807611561965 1996-01-02
"254" -0.00268349141366494 1996-01-03
"255" -0.0304721886620717 1996-01-04
"256" -0.00582804012525199 1996-01-05
"257" 0.00411752484030736 1996-01-08
"258" -0.0134226879847596 1996-01-09
"259" -0.0183780658327174 1996-01-10
"260" 0.00789434352251696 1996-01-11
"261" 0.0135289110658065 1996-01-12
"262" -0.00941410557400712 1996-01-15
"263" 0.0284397175789023 1996-01-16
"264" 0.0104820147316691 1996-01-17
"265" -0.0088718838099613 1996-01-18
"266" 0.0128761139444044 1996-01-19
"267" 0.00910947546639825 1996-01-22
"268" 0.005389371575041 1996-01-23
"269" 0.00830878796475869 1996-01-24
"270" 0.006512500333786 1996-01-25
"271" 0.00138647442938268 1996-01-26
"272" 0.0272301688903487 1996-01-29
"273" 0.0169448070194246 1996-01-30
"274" 0.00593281828101703 1996-01-31
"275" -0.0141172045580959 1996-02-01
"276" -0.00560043701297406 1996-02-02
"277" 0.00352003713343775 1996-02-05
"278" 0.0125637381519825 1996-02-06
"279" 0.0103923800468953 1996-02-07
"280" 0.0219424206169593 1996-02-08
"281" -0.00231789978116892 1996-02-09
"282" 0.00629738214936664 1996-02-12
"283" 0.00212650258613663 1996-02-13
"284" -0.00339521923890239 1996-02-14
"285" 0.00219004748965397 1996-02-15
"286" -0.00461332925086157 1996-02-16
"287" -0.0130503601183151 1996-02-20
"288" 0.0260133343808948 1996-02-21
"289" 0.0169828753708899 1996-02-22
"290" 0.0110143841069271 1996-02-23
"291" -0.0115387089732634 1996-02-26
"292" 0.000592559290167711 1996-02-27
"293" 0.00325716230921382 1996-02-28
"294" -0.00655217306011806 1996-02-29
"295" 0.0128936359589113 1996-03-01
"296" 0.00874054180749573 1996-03-04
"297" 0.00535006103382556 1996-03-05
"298" -0.0122628424736902 1996-03-06
"299" -0.0130006816432597 1996-03-07
"300" -0.0391005059502678 1996-03-08
"301" -0.00568078640197847 1996-03-11
"302" -0.00403649322886838 1996-03-12
"303" 0.0036787638894369 1996-03-13
"304" 0.0123004286396416 1996-03-14
"305" 0.00141146842026083 1996-03-15
"306" 0.0273930742757302 1996-03-18
"307" -0.00339992941456232 1996-03-19
"308" 0.00712229905088151 1996-03-20
"309" -0.000534838386976915 1996-03-21
"310" 0.00297298970583727 1996-03-22
"311" 0.00575055448009947 1996-03-25
"312" 0.00436190091646635 1996-03-26
"313" 0.00915547243182505 1996-03-27
"314" 0.00366388777358631 1996-03-28
"315" -0.000637397043658916 1996-03-29
"316" 0.0298022621790337 1996-04-01
"317" 0.00411014618362606 1996-04-02
"318" -0.00751375918779162 1996-04-03
"319" -0.000112990042227846 1996-04-04
"320" -0.0276867128179259 1996-04-08
"321" -0.0113319810151937 1996-04-09
"322" -0.0271556944292848 1996-04-10
"323" -0.00622315492320979 1996-04-11
"324" 0.0214007379418551 1996-04-12
"325" 0.0153571867884431 1996-04-15
"326" -0.0104350068666159 1996-04-16
"327" -0.00580569352624026 1996-04-17
"328" 0.000715073666809942 1996-04-18
"329" -0.00107184405275786 1996-04-19
"330" 0.000298078484565153 1996-04-22
"331" 0.00148976826195299 1996-04-23
"332" -0.00279663204261683 1996-04-24
"333" 0.0115162076078749 1996-04-25
"334" 0.00973338638876934 1996-04-26
"335" -0.0047906089072101 1996-04-29
"336" 0.00287645424650092 1996-04-30
"337" 0.000292696515360848 1996-05-01
"338" -0.0337059080595144 1996-05-02
"339" 0.00545025129196262 1996-05-03
"340" -0.0130699040855941 1996-05-06
"341" 0.0070791699985553 1996-05-07
"342" 0.0203611908552065 1996-05-08
"343" -0.00320703169363654 1996-05-09
"344" 0.0182912068980316 1996-05-10
"345" 0.00702122864800008 1996-05-13
"346" 0.0040091066327987 1996-05-14
"347" -0.00584491879391799 1996-05-15
"348" 0.00139706519581356 1996-05-16
"349" 0.0127303428617387 1996-05-17
"350" 0.00390311180627847 1996-05-20
"351" -0.00108637603003106 1996-05-21
"352" 0.0160838155422133 1996-05-22
"353" -0.0103087182496753 1996-05-23
"354" 0.00278902599991147 1996-05-24
"355" -0.0111817519946023 1996-05-28
"356" -0.00545318958487133 1996-05-29
"357" 0.00138518030341774 1996-05-30
"358" -0.00311239201569057 1996-05-31
"359" 0.00190799799516656 1996-06-03
"360" 0.0159847299614524 1996-06-04
"361" 0.0158469175017675 1996-06-05
"362" -0.00134194754191242 1996-06-06
"363" -0.0175801627790828 1996-06-07
"364" 0.00136774991857066 1996-06-10
"365" 0.00210570503107041 1996-06-11
"366" 0.00176058594042137 1996-06-12
"367" 0.00345821909451564 1996-06-13
"368" -0.00451974910453665 1996-06-14
"369" -0.00419979201889561 1996-06-17
"370" -0.00410349943374247 1996-06-18
"371" -0.0117889027065897 1996-06-19
"372" -0.0153463040141435 1996-06-20
"373" -0.0151150124934103 1996-06-21
"374" 0.0158247065273147 1996-06-24
"375" 0.0137557724176472 1996-06-25
"376" -0.00608873202411224 1996-06-26
"377" 0.00828475877137371 1996-06-27
"378" 0.0065964532650732 1996-06-28
"379" 0.0139112419047887 1996-07-01
"380" -0.00408214211032843 1996-07-02
"381" 0.00518051104079959 1996-07-03
"382" -0.0306960362460467 1996-07-05
"383" -0.0210341799807956 1996-07-08
"384" 0.0057296109320355 1996-07-09
"385" 0.0115126707141874 1996-07-10
"386" -0.0134937262032215 1996-07-11
"387" 0.000565021676600942 1996-07-12
"388" -0.0178014654907268 1996-07-15
"389" 0.00526477820103028 1996-07-16
