report_id,outcome,num_ppl_fined,fine,num_ppl_arrested,prison_time,prison_time_unit
MOR46653,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR26038,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR51077,Confiscation,0,0.0,0,0.0,N/A
MOR10061,Conviction - imprisonment,0,0.0,1,9.0,Years
MOR12096,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR14807,Confiscation,0,0.0,0,0.0,N/A
MOR37364,Conviction - imprisonment,0,0.0,3,29.0,Years
MOR30617,Confiscation,0,0.0,0,0.0,N/A
MOR33837,Confiscation,0,0.0,0,0.0,N/A
MOR14149,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR43771,Confiscation,0,0.0,0,0.0,N/A
MOR26578,Conviction - imprisonment,0,0.0,0,3.0,Months
MOR37979,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR36691,Confiscation,0,0.0,0,0.0,N/A
MOR38011,Arrest,0,0.0,2,0.0,N/A
MOR7378,Conviction - court fine or imprisonment,1,2310.0,1,5.0,Years
MOR33682,Charged - No further details,0,0.0,0,0.0,N/A
MOR10058,Confiscation & arrest,0,0.0,4,0.0,N/A
MOR25797,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR36953,Charged - No further details,0,0.0,2,0.0,N/A
MOR15320,Charged - Pending court case,0,0.0,1,0.0,N/A
MOR40627,Confiscation,0,0.0,0,0.0,N/A
MOR37811,Conviction - imprisonment,0,0.0,11,414.0,Months
MOR31668,Charged - No further details,0,0.0,0,0.0,N/A
MOR5407,Confiscation,0,0.0,0,0.0,N/A
MOR28690,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR52921,Arrest,0,0.0,0,0.0,N/A
MOR25625,Confiscation,0,0.0,0,0.0,N/A
MOR4073,Confiscation,0,0.0,0,0.0,N/A
MOR5610,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR48990,Confiscation & arrest,0,0.0,4,0.0,N/A
MOR52554,Arrest,0,0.0,0,0.0,N/A
MOR54144,Confiscation,0,0.0,0,0.0,N/A
MOR29005,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR1162,Conviction - court fine & imprisonment,1,355.038,2,2.0,Months
MOR30748,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR28994,Confiscation,0,0.0,0,0.0,N/A
MOR41358,Charged - No further details,0,0.0,4,0.0,N/A
MOR37849,Investigation ongoing,0,0.0,0,0.0,N/A
MOR25786,Confiscation,0,0.0,0,0.0,N/A
MOR32387,Confiscation,0,0.0,0,0.0,N/A
MOR44228,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR7892,Investigation ongoing,0,0.0,0,0.0,N/A
MOR14784,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR34551,Confiscation,0,0.0,2,0.0,N/A
MOR28185,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR33501,Confiscation,0,0.0,0,0.0,N/A
MOR18414,Conviction - imprisonment,2,25000.0,2,2.0,Years
MOR16219,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR33763,Confiscation,0,0.0,0,0.0,N/A
MOR18113,Confiscation,0,0.0,0,0.0,N/A
MOR41340,Confiscation & arrest,0,0.0,4,0.0,N/A
MOR11283,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR5595,Confiscation,0,0.0,0,0.0,N/A
MOR43006,Confiscation,0,0.0,0,0.0,N/A
MOR31279,Conviction - imprisonment,0,0.0,0,9.0,Years
MOR18305,Police fine/Penalty notice,1,266.0,0,0.0,N/A
MOR26279,Confiscation,0,0.0,0,0.0,N/A
MOR29109,Charged - No further details,0,0.0,0,14.0,Years
MOR46904,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR3319,Confiscation & arrest,0,0.0,3,0.0,N/A
MOR50046,Confiscation,0,0.0,0,0.0,N/A
MOR45017,Investigation ongoing,0,0.0,0,0.0,N/A
MOR39020,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR5609,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR26141,Confiscation,0,0.0,0,0.0,N/A
MOR37292,Confiscation,0,0.0,0,0.0,N/A
MOR29782,Confiscation,0,0.0,0,0.0,N/A
MOR25319,Confiscation,0,0.0,0,0.0,N/A
MOR28449,Confiscation,0,0.0,0,0.0,N/A
MOR29054,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR37296,Confiscation,0,0.0,0,0.0,N/A
MOR35898,Confiscation,0,0.0,0,0.0,N/A
MOR49462,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR7673,Charged - No further details,0,0.0,2,0.0,N/A
MOR35946,Confiscation,0,0.0,0,0.0,N/A
MOR5743,Confiscation,0,0.0,0,0.0,N/A
MOR14779,Confiscation,0,0.0,0,0.0,N/A
MOR15240,Charged - Pending court case,0,0.0,3,0.0,N/A
MOR33622,Confiscation,0,0.0,0,0.0,N/A
MOR43020,Confiscation,0,0.0,0,0.0,N/A
MOR10342,Conviction - court fine & imprisonment,1,235527.0,0,20.0,Years
MOR30391,Charged - No further details,0,0.0,0,0.0,N/A
MOR26528,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR41262,Confiscation & arrest,0,0.0,12,0.0,N/A
MOR25750,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR41938,Confiscation,0,0.0,0,0.0,N/A
MOR42413,Confiscation,0,0.0,0,0.0,N/A
MOR31206,Confiscation,0,0.0,0,0.0,N/A
MOR12126,Confiscation,0,0.0,0,0.0,N/A
MOR15332,Charged - No further details,0,0.0,0,0.0,N/A
MOR5565,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR14174,Conviction - court fine,1,26366.400390625,0,0.0,N/A
MOR31558,Confiscation,0,0.0,0,0.0,N/A
MOR45603,Arrest,0,0.0,1,0.0,N/A
MOR46937,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR29771,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR49134,Confiscation,0,0.0,0,0.0,N/A
MOR51234,Confiscation,0,0.0,0,0.0,N/A
MOR28848,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR39578,Confiscation,0,0.0,0,0.0,N/A
MOR11598,Confiscation,0,0.0,0,0.0,N/A
MOR42105,Confiscation,0,0.0,0,0.0,N/A
MOR37890,Confiscation,0,0.0,0,0.0,N/A
MOR17676,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR35897,Confiscation,0,0.0,0,0.0,N/A
MOR32160,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR43227,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR28372,Confiscation,0,0.0,0,0.0,N/A
MOR40779,Confiscation,0,0.0,0,0.0,N/A
MOR30762,Confiscation,0,0.0,0,0.0,N/A
MOR10043,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR35107,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR36911,Police fine/Penalty notice,0,16341.9,0,0.0,N/A
MOR48454,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR50909,Investigation ongoing,0,0.0,0,0.0,N/A
MOR14256,Confiscation,0,0.0,0,0.0,N/A
MOR17846,Confiscation,0,0.0,0,0.0,N/A
MOR46203,Confiscation & arrest,0,0.0,3,0.0,N/A
MOR34261,Arrest,0,0.0,20,0.0,N/A
MOR55738,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR43136,Confiscation,0,0.0,0,0.0,N/A
MOR7167,Confiscation,0,0.0,0,0.0,N/A
MOR38765,Confiscation,0,0.0,0,0.0,N/A
MOR27241,Confiscation,0,0.0,0,0.0,N/A
MOR25987,No further action,0,0.0,0,0.0,N/A
MOR54140,Confiscation,0,0.0,0,0.0,N/A
MOR48535,Confiscation & arrest,0,0.0,3,0.0,N/A
MOR12394,Confiscation,0,0.0,0,0.0,N/A
