ENFORCEMENT_SPACE_CODE,LOCATION_DESCRIPTION,SITE_CODE,ACTIVE_STATUS,CAMERA_STATUS,START_DATE,END_DATE,DEVICE_MOBILITY,ENFORCEMENT_TYPE,SPEED_LIMIT,CAMERA_LATITUDE,CAMERA_LONGITUDE,CAMERA_EASTING,CAMERA_NORTHING,OBJECTID,GLOBALID,WARD,ANC,SMD
ATE 0349,600 BLK FLORIDA AVE NW SE/B,1118,Active,Live,2023/12/30 05:00:00+00,,Portable,Speed,25,38.915604,-77.020533,398219.46429339,138636.80994462,151843,{27076D15-FC68-778E-E063-782F520A63DA},2.0,2G,2G01
ATE 0350,600 BLK FRANKLIN ST NE E/B,9564,Retired,Idle,2024/06/06 04:00:00+00,,,Speed,25,,,,,151844,{27076D15-FC69-778E-E063-782F520A63DA},,,
ATE 0352,600 BLK KENILWORTH AVE NE S/B,1719,Active,Live,2024/03/29 04:00:00+00,,,Speed,25,38.898969,-76.948436,404473.11017994,136791.25240255,151845,{27076D15-FC6A-778E-E063-782F520A63DA},7.0,7D,7D03
ATE 0353,600 BLK MARYLAND AVE NE NE/B,8126,Retired,Idle,2016/01/05 05:00:00+00,,,Speed,25,,,,,151846,{27076D15-FC6B-778E-E063-782F520A63DA},,,
ATE 0354,600 BLK MARYLAND AVE NE SW/B,8105,Retired,Idle,2021/08/28 04:00:00+00,,,Speed,25,,,,,151847,{27076D15-FC6C-778E-E063-782F520A63DA},,,
ATE 0355,600 BLK MISSOURI AVE NW NW/B,9401,Retired,Idle,2013/02/01 05:00:00+00,,,Speed,25,,,,,151848,{27076D15-FC6D-778E-E063-782F520A63DA},,,
ATE 0356,600 BLK MISSOURI AVE NW SE/B,1410,Active,Live,2024/03/06 05:00:00+00,,,Speed,25,38.95904,-77.02234,398063.93253782,143458.62316811,151849,{27076D15-FC6E-778E-E063-782F520A63DA},4.0,4D,4D01
ATE 0357,600 BLK NEW YORK AVE NE E/B,1523,Active,Live,2024/03/21 04:00:00+00,,,Speed,35,38.91197,-76.99533,400405.21186432,138233.21593742,151850,{27076D15-FC6F-778E-E063-782F520A63DA},5.0,5D,5D01
ATE 0358,600 BLK NEW YORK AVE NW E/B,1208,Active,Live,2023/12/30 05:00:00+00,,Fixed,Speed,25,38.90365,-77.02096,398182.12806513,137309.82653581,151851,{27076D15-FC70-778E-E063-782F520A63DA},2.0,2G,2G06
ATE 0359,600 BLK NEW YORK AVE NW W/B,1209,Active,Live,2023/12/30 05:00:00+00,,Fixed,Speed,25,38.90355,-77.02013,398254.11932437,137298.7095254,151852,{27076D15-FC71-778E-E063-782F520A63DA},2.0,2G,2G06
ATE 0712,1500 BLK T ST NW E/B,7203,Active,Live,2024/05/21 04:00:00+00,,,Truck Restriction,25,38.915629,-77.036672,396819.81276367,138640.02372172,151853,{27076D15-FC72-778E-E063-782F520A63DA},2.0,2B,2B09
ATE 0715,5800 BLOCK OF NEW HAMPSHIRE AVE. N.,9404,Retired,Idle,2013/02/03 05:00:00+00,,,Speed,,,,,,151854,{27076D15-FC73-778E-E063-782F520A63DA},,,
ATE 0716,SUITLAND PK .3 MILES PRIOR TO FIRTH,9703,Retired,Idle,2013/02/03 05:00:00+00,,,Speed,,,,,,151855,{27076D15-FC74-778E-E063-782F520A63DA},,,
ATE 0717,7700 BLK 16TH ST NW N/B,8425,Retired,Idle,2017/11/09 05:00:00+00,,,Speed,,,,,,151856,{27076D15-FC75-778E-E063-782F520A63DA},,,
ATE 0718,3500 MASSACHUSETTS AVE NW (E/B),9230,Retired,Idle,2013/09/25 04:00:00+00,,,Speed,,,,,,151857,{27076D15-FC76-778E-E063-782F520A63DA},,,
ATE 0719,DC295 NE .1MILE S/O EASTERN AVE S/B,8609,Retired,Idle,2013/11/04 05:00:00+00,,,Speed,,,,,,151858,{27076D15-FC77-778E-E063-782F520A63DA},,,
ATE 0720,5800 BLK NEW HAMPSHIRE AVE NE SW/B,9404,Retired,Idle,2013/02/23 05:00:00+00,,,Speed,,,,,,151859,{27076D15-FC78-778E-E063-782F520A63DA},,,
ATE 0721,4500 BLK. RIVER RD. NW (SB),9203,Retired,Idle,2013/02/24 05:00:00+00,,,Speed,,,,,,151860,{27076D15-FC79-778E-E063-782F520A63DA},,,
ATE 0722,5500 BLK EAST CAPITOL ST SE (E/B),9603,Retired,Idle,2013/02/24 05:00:00+00,,,Speed,,,,,,151861,{27076D15-FC7A-778E-E063-782F520A63DA},,,
ATE 0723,3900 BLOCK PENNSYLVANIA AVE SE NW/B,9611,Retired,Idle,2013/09/24 04:00:00+00,,,Speed,,,,,,151862,{27076D15-FC7B-778E-E063-782F520A63DA},,,
ATE 0724,4200 BLK SOUTH DAKOTA AVE NE N/B,9510,Retired,Idle,2013/05/09 04:00:00+00,,,Speed,,,,,,151863,{27076D15-FC7C-778E-E063-782F520A63DA},,,
ATE 0725,DC295 .4 MI S/O BURROUGHS AV NE S/B,9656,Retired,Idle,2013/07/31 04:00:00+00,,,Speed,,,,,,151864,{27076D15-FC7D-778E-E063-782F520A63DA},,,
ATE 0726,E CAPITOL ST W/B @ SOUTHERN AVE NE,9668,Retired,Idle,2016/03/02 05:00:00+00,,,Speed,,,,,,151865,{27076D15-FC7E-778E-E063-782F520A63DA},,,
ATE 0727,MT OLIVET SE/B @ W VIRGINIA AVE NE,8505,Retired,Idle,2013/12/26 05:00:00+00,, ,Speed,,,,,,151866,{27076D15-FC7F-778E-E063-782F520A63DA},,,
ATE 0728,DC295 NE .1MILE S/O EASTERN AVE N/B,9620,Retired,Idle,2022/05/19 04:00:00+00,,,Speed,,,,,,151867,{27076D15-FC80-778E-E063-782F520A63DA},,,
ATE 0729,RHODE ISLAND AVE SW/B @ 1ST ST NW,8507,Retired,Idle,2018/04/30 04:00:00+00,,,Speed,,,,,,151868,{27076D15-FC81-778E-E063-782F520A63DA},,,
ATE 0730,RHODE ISLAND AVE SW/B @ 1ST ST NW,344,Retired,Idle,2019/08/12 04:00:00+00,,,Red Light,,,,,,151869,{27076D15-FC82-778E-E063-782F520A63DA},,,
ATE 0731,SUITLAND PK E/B @ FIRTH STERLING SE,8713,Retired,Idle,2018/05/22 04:00:00+00,,,Speed,,,,,,151870,{27076D15-FC83-778E-E063-782F520A63DA},,,
ATE 0732,DC295 SW .7 MILES S/O EXIT 1 S/B,8704,Retired,Idle,2019/07/04 04:00:00+00,,,Speed,,,,,,151871,{27076D15-FC84-778E-E063-782F520A63DA},,,
ATE 0733,NEW YORK AVE W/B @ MONTANA AVE NE,8520,Retired,Idle,2015/07/18 04:00:00+00,,,Speed,,,,,,151872,{27076D15-FC85-778E-E063-782F520A63DA},,,
ATE 0734,BENNING RD NW/B @ MINNESOTA AVE NE,8623,Retired,Idle,2018/06/09 04:00:00+00,,,Speed,,,,,,151873,{27076D15-FC86-778E-E063-782F520A63DA},,,
ATE 0735,PENNSYLVANIA AVE SE/B @ 27TH ST SE,8624,Retired,Idle,2019/05/15 04:00:00+00,,,Speed,,,,,,151874,{27076D15-FC87-778E-E063-782F520A63DA},,,
ATE 0736,3500 MASSACHUSETTS AVE NW E/B,9230,Retired,Idle,2014/09/12 04:00:00+00,,,Speed,,,,,,151875,{27076D15-FC88-778E-E063-782F520A63DA},,,
ATE 0737,K ST E/B @ 27TH ST NW,8204,Retired,Idle,2014/11/15 05:00:00+00,,,Speed,,,,,,151876,{27076D15-FC89-778E-E063-782F520A63DA},,,
ATE 0738,4000 BLK 12TH ST NE N/B,9676,Retired,Idle,2019/11/26 05:00:00+00,,,Speed,,,,,,151877,{27076D15-FC8A-778E-E063-782F520A63DA},,,
ATE 0739,3100 BLK 4TH ST NE N/B,9554,Retired,Idle,2022/07/14 04:00:00+00,,,Speed,,,,,,151878,{27076D15-FC8B-778E-E063-782F520A63DA},,,
ATE 0740,3600 BLK DALECARLIA PWKY NE/B,8237,Retired,Idle,2014/12/10 05:00:00+00,,,Speed,,,,,,151879,{27076D15-FC8C-778E-E063-782F520A63DA},,,
ATE 0741,3100 BLK 4TH ST NE S/B,9560,Retired,Idle,2019/04/02 04:00:00+00,,,Speed,,,,,,151880,{27076D15-FC8D-778E-E063-782F520A63DA},,,
ATE 0742,1400 BLK S CAPITOL ST SE N/B,9126,Retired,Idle,2018/05/22 04:00:00+00,,,Speed,,,,,,151881,{27076D15-FC8E-778E-E063-782F520A63DA},,,
ATE 0743,3600 BLK DALECARLIA PKWY NW NE/B,9245,Retired,Idle,2019/12/19 05:00:00+00,,,Speed,,,,,,151882,{27076D15-FC8F-778E-E063-782F520A63DA},,,
ATE 0744,DC295 SW .3 MILES S/O EXIT 1 N/B,8705,Retired,Idle,2016/08/31 04:00:00+00,,,Speed,,,,,,151883,{27076D15-FC90-778E-E063-782F520A63DA},,,
ATE 0745,UNIT BLK IRVING ST NW E/B,9419,Retired,Idle,2016/09/29 04:00:00+00,,,Speed,,,,,,151884,{27076D15-FC91-778E-E063-782F520A63DA},,,
ATE 0746,4200 BLK RENO RD NW NW/B,9217,Retired,Idle,2020/04/01 04:00:00+00,,,Speed,,,,,,151885,{27076D15-FC92-778E-E063-782F520A63DA},,,
ATE 0747,3900 BLK PENNSYLVANIA AVE SE NW/B,8636,Retired,Idle,2020/02/21 05:00:00+00,,,Speed,,,,,,151886,{27076D15-FC93-778E-E063-782F520A63DA},,,
ATE 0748,2800 BLK BENNING RD NE E/B,8650,Retired,Idle,2022/01/23 05:00:00+00,,,Speed,,,,,,151887,{27076D15-FC94-778E-E063-782F520A63DA},,,
ATE 0749,4200 BLK S DAKOTA AVE NE NW/B,8525,Retired,Idle,2020/09/14 04:00:00+00,,,Speed,,,,,,151888,{27076D15-FC95-778E-E063-782F520A63DA},,,
ATE 0750,4600 BLK NEBRASKA AVE NW SW/B,9213,Retired,Idle,2021/07/06 04:00:00+00,,,Speed,,,,,,151889,{27076D15-FC96-778E-E063-782F520A63DA},,,
ATE 0751,3RD ST TUNNEL NW N/B @ MA AVE (WZ),8902,Retired,Idle,2015/06/29 04:00:00+00,,,Speed,,,,,,151890,{27076D15-FC97-778E-E063-782F520A63DA},,,
ATE 0752,3RD ST TUNNEL NW S/B @ 3RD ST (WZ),8901,Retired,Idle,2015/08/03 04:00:00+00,,,Speed,,,,,,151891,{27076D15-FC98-778E-E063-782F520A63DA},,,
ATE 0753,4600 BLK BLAGDEN AVE NW W/B,8438,Retired,Idle,2017/08/09 04:00:00+00,,,Speed,,,,,,151892,{27076D15-FC99-778E-E063-782F520A63DA},,,
ATE 0754,3RD ST TUNNEL NW N/B BY MA AVE (WZ),9109,Retired,Idle,2019/10/09 04:00:00+00,,,Speed,,,,,,151893,{27076D15-FC9A-778E-E063-782F520A63DA},,,
ATE 0755,3RD ST TUNNEL NW S/B BY 3RD ST (WZ),9108,Retired,Idle,2019/07/08 04:00:00+00,,,Speed,,,,,,151894,{27076D15-FC9B-778E-E063-782F520A63DA},,,
ATE 0756,700 BLK RIDGE RD SE SE/B,8651,Retired,Idle,2020/02/19 05:00:00+00,,,Speed,,,,,,151895,{27076D15-FC9C-778E-E063-782F520A63DA},,,
ATE 0757,K ST E/B @ 27TH ST NW,2205,Active,Live,2024/02/08 05:00:00+00,,,Red Light,25,38.902478,-77.056701,395081.89435101,137181.04387088,151896,{27076D15-FC9D-778E-E063-782F520A63DA},2.0,2A,2A04
ATE 0758,4200 BLK S CAPITOL ST SW S/B,9712,Retired,Idle,2018/08/14 04:00:00+00,,,Speed,,,,,,151897,{27076D15-FC9E-778E-E063-782F520A63DA},,,
ATE 0759,6700 BLK 16TH ST NW N/B,9409,Retired,Idle,2021/08/26 04:00:00+00,,,Speed,,,,,,151898,{27076D15-FC9F-778E-E063-782F520A63DA},,,
ATE 0760,1700 BLK N PORTAL DR NW SW/B,8407,Retired,Idle,2017/07/18 04:00:00+00,,,Speed,,,,,,151899,{27076D15-FCA0-778E-E063-782F520A63DA},,,
ATE 0761,3500 BLK NEW HAMPSHIRE AVE NW SW/B,9411,Retired,Idle,2020/02/21 05:00:00+00,,,Speed,,,,,,151900,{27076D15-FCA1-778E-E063-782F520A63DA},,,
ATE 0762,5700 BLK MACARTHUR BLVD NW S/B,9209,Retired,Idle,2022/06/15 04:00:00+00,,,Speed,,,,,,151901,{27076D15-FCA2-778E-E063-782F520A63DA},,,
ATE 0763,200 BLK 19TH ST SE N/B,9107,Retired,Idle,2019/11/18 05:00:00+00,,,Speed,,,,,,151902,{27076D15-FCA3-778E-E063-782F520A63DA},,,
ATE 0764,1700 BLK C ST NE W/B,9128,Retired,Idle,2022/08/30 04:00:00+00,,,Speed,,,,,,151903,{27076D15-FCA4-778E-E063-782F520A63DA},,,
ATE 0765,SUITLAND E/B @ FIRTH STERLING SE,212,Retired,Idle,2018/05/23 04:00:00+00,,,Red Light,,,,,,151904,{27076D15-FCA5-778E-E063-782F520A63DA},,,
ATE 0766,1800 BLK C ST NE E/B,9512,Retired,Idle,2020/11/16 05:00:00+00,,,Speed,,,,,,151905,{27076D15-FCA6-778E-E063-782F520A63DA},,,
ATE 0767,1800 BLK RHODE ISLAND AVE NE SW/B,9555,Retired,Idle,2020/02/29 05:00:00+00,,,Speed,,,,,,151906,{27076D15-FCA7-778E-E063-782F520A63DA},,,
ATE 0768,3900 BLK SOUTH DAKOTA AVE NE SE/B,9557,Retired,Idle,2022/02/08 05:00:00+00,,,Speed,,,,,,151907,{27076D15-FCA8-778E-E063-782F520A63DA},,,
ATE 0769,4600 BLK BLAGDEN AVE NW SW/B,9412,Retired,Idle,2022/07/14 04:00:00+00,,,Speed,,,,,,151908,{27076D15-FCA9-778E-E063-782F520A63DA},,,
ATE 0770,E CAPITOL ST W/B @ SOUTHERN AVE NE,244,Retired,Idle,2018/08/27 04:00:00+00,,,Red Light,,,,,,151909,{27076D15-FCAA-778E-E063-782F520A63DA},,,
ATE 0771,4400 BLK CLERMONT DR NE S/B,9558,Retired,Idle,2021/05/20 04:00:00+00,,,Speed,,,,,,151910,{27076D15-FCAB-778E-E063-782F520A63DA},,,
ATE 0772,DC295 SW .2 MILES S/O EXIT 1 N/B,9799,Retired,Idle,2020/01/03 05:00:00+00,,,Speed,,,,,,151911,{27076D15-FCAC-778E-E063-782F520A63DA},,,
ATE 0774,4500 BLK RIVER RD NW SB,9203,Retired,Idle,2019/04/02 04:00:00+00,,,Speed,,,,,,151912,{27076D15-FCAD-778E-E063-782F520A63DA},,,
ATE 0777,DC295 SW .2 MILES S/O E/1 N/B (WZ),9796,Retired,Idle,2019/12/07 05:00:00+00,,,Speed,,,,,,151913,{27076D15-FCAE-778E-E063-782F520A63DA},,,
ATE 0778,DC 295 .4MI S/O PA AVE SE SW/B (WZ),9716,Retired,Idle,2019/12/07 05:00:00+00,,,Speed,,,,,,151914,{27076D15-FCAF-778E-E063-782F520A63DA},,,
ATE 0779,4500 BLK RIVER RD NW S/B,8241,Retired,Idle,2019/12/18 05:00:00+00,,,Speed,,,,,,151915,{27076D15-FCB0-778E-E063-782F520A63DA},,,
ATE 0780,3500 BLK MASSACHUSETTS AVE NW E/B,9212,Retired,Idle,2021/05/06 04:00:00+00,,,Speed,,,,,,151916,{27076D15-FCB1-778E-E063-782F520A63DA},,,
ATE 0781,3600 BLK PARK PL NW S/B,9408,Retired,Idle,2022/11/19 05:00:00+00,,,Speed,,,,,,151917,{27076D15-FCB2-778E-E063-782F520A63DA},,,
ATE 0782,2500 BLK INDEPENDENCE AVE SE NE/B,9197,Retired,Idle,2021/09/17 04:00:00+00,,,Speed,,,,,,151918,{27076D15-FCB3-778E-E063-782F520A63DA},,,
ATE 0783,DC295 SE 0.4 MILES S/O E/2 S/B (WZ),9718,Retired,Idle,2021/02/26 05:00:00+00,,,Speed,,,,,,151919,{27076D15-FCB4-778E-E063-782F520A63DA},,,
ATE 0784,16TH ST S/B @ IRVING ST NW,2103,Active,Live,2024/04/16 04:00:00+00,,,Red Light,,38.929034,-77.036574,396828.90801256,140128.08841024,151920,{27076D15-FCB5-778E-E063-782F520A63DA},1.0,1D,1D04
ATE 0785,4200 BLK SOUTHERN AVE SE SW/B,1709,Active,Live,2024/03/20 04:00:00+00,,,Speed,,38.870223,-76.938571,405330.99764019,133600.75558669,151921,{27076D15-FCB6-778E-E063-782F520A63DA},7.0,7B,7B08
ATE 0786,1400 BLK N CAPITOL ST NE N/B,9308,Retired,Idle,2022/01/12 05:00:00+00,,,Speed,,,,,,151922,{27076D15-FCB7-778E-E063-782F520A63DA},,,
ATE 0787,14TH ST N/B @ C ST SW,2206,Active,Live,2024/02/08 05:00:00+00,,,Red Light,25,38.885598,-77.031778,397243.08356574,135306.18334069,151923,{27076D15-FCB8-778E-E063-782F520A63DA},6.0,6D,6D01
ATE 0788,4500 BLK RENO RD NW S/B,7301,Active,Live,2024/05/21 04:00:00+00,,,Truck Restriction,25,38.948833,-77.07257,393709.4951836,142327.81670773,151924,{27076D15-FCB9-778E-E063-782F520A63DA},3.0,3E,3E05
ATE 0789,NEW YORK AVE W/B @ MONTANA AVE NE,474,Retired,Idle,2009/01/09 05:00:00+00,,,Red Light,35,,,,,151925,{27076D15-FCBA-778E-E063-782F520A63DA},,,
ATE 0790,NEW YORK AVE W/B @ MONTANA AVE NE,574,Retired,Idle,2020/07/11 04:00:00+00,,,Truck Restriction,25,,,,,151926,{27076D15-FCBB-778E-E063-782F520A63DA},,,
ATE 0791,RHODE ISLAND W/B @ 1ST NW,344,Retired,Idle,2013/08/01 04:00:00+00,,,Red Light,30,,,,,151927,{27076D15-FCBC-778E-E063-782F520A63DA},,,
ATE 0792,BENNING N/B @ MINNESOTA NE,331,Retired,Idle,2013/08/02 04:00:00+00,,,Red Light,30,,,,,151928,{27076D15-FCBD-778E-E063-782F520A63DA},,,
ATE 0793,E CAPITOL W/B AT SOUTHERN AVE  NE,244,Retired,Idle,2013/08/02 04:00:00+00,,,Red Light,30,,,,,151929,{27076D15-FCBE-778E-E063-782F520A63DA},,,
ATE 0795,SUITLAND E/B AT FIRTH STERLING SE,212,Retired,Idle,2013/08/17 04:00:00+00,,,Red Light,35,,,,,151930,{27076D15-FCBF-778E-E063-782F520A63DA},,,
ATE 0796,16TH ST S/B AT IRVING ST NW,222,Retired,Idle,2013/09/28 04:00:00+00,,,Red Light,30,,,,,151931,{27076D15-FCC0-778E-E063-782F520A63DA},,,
ATE 0797,BENNING NW/B AT MINNESOTA NE,331,Retired,Idle,2013/09/28 04:00:00+00,,,Red Light,30,,,,,151932,{27076D15-FCC1-778E-E063-782F520A63DA},,,
ATE 0798,RHODE ISLAND AVE SW/B AT 1ST ST NW,344,Retired,Idle,2013/09/28 04:00:00+00,,,Red Light,30,,,,,151933,{27076D15-FCC2-778E-E063-782F520A63DA},,,
ATE 0799,BENNING RD NW/B @ MINNESOTA NE,331,Retired,Idle,2013/09/30 04:00:00+00,,,Red Light,30,,,,,151934,{27076D15-FCC3-778E-E063-782F520A63DA},,,
ATE 0800,1100 BLK INDEPENDENCE AVE SE E/B,7602,Active,Live,2024/05/21 04:00:00+00,,,Truck Restriction,25,38.887663,-76.991653,400724.36212613,135534.96745478,151935,{27076D15-FCC4-778E-E063-782F520A63DA},6.0,6B,6B05
ATE 0801,MILITARY RD E/B @ 43rd ST NW,3303,Active,Live,2024/05/21 04:00:00+00,,,Stop Sign,25,38.961073,-77.084223,392700.61510062,143687.43547033,151936,{27076D15-FCC5-778E-E063-782F520A63DA},3.0,3E,3E04
ATE 0802,MARYLAND AVE SW/B @ NEAL ST NE,3506,Active,Live,2024/05/21 04:00:00+00,,,Stop Sign,25,38.901289,-76.980338,401705.71273636,137047.71142646,151937,{27076D15-FCC6-778E-E063-782F520A63DA},5.0,5D,5D07
ATE 0803,NY AVE W/B @ BLADENSBURG RD NE,8522,Retired,Idle,2017/04/25 04:00:00+00,,,Speed,40,,,,,151938,{27076D15-FCC7-778E-E063-782F520A63DA},,,
ATE 0804,Benning Rd e/b @ 34 St NE,2707,Active,Live,2024/07/11 04:00:00+00,,,Red Light,35,38.89667,-76.95749,403687.83897812,136535.64049309,151939,{27076D15-FCC8-778E-E063-782F520A63DA},7.0,7D,7D03
ATE 0805,Minnesota Ave ne/b @ Benning Rd NE,2708,Active,Live,2024/07/11 04:00:00+00,,,Red Light,25,38.89494,-76.94932,404396.67581023,136343.95856895,151940,{27076D15-FCC9-778E-E063-782F520A63DA},7.0,7F,7F01
ATE 0806,Park Pl s/b @ Irving St NW,2104,Active,Live,2024/07/11 04:00:00+00,,,Red Light,25,38.92953,-77.01868,398380.48184413,140182.67908017,151941,{27076D15-FCCA-778E-E063-782F520A63DA},1.0,1E,1E04
ATE 0807,3000 blk Wisconsin Ave NW n/b,1320,Active,Live,2024/07/25 04:00:00+00,,,Speed,30,38.92913,-77.07317,393655.7313733,140140.6526495,151942,{27076D15-FCCB-778E-E063-782F520A63DA},3.0,3A,3A02
ATE 0808,5000 blk E Capitol St NE w/b,1722,Active,Live,2024/07/27 04:00:00+00,,,Speed,30,38.89009,-76.92985,406086.11164709,135806.68844049,151943,{27076D15-FCCC-778E-E063-782F520A63DA},7.0,7C,7C03
ATE 0809,100 blk Rhode Island Ave NE ne/b,1550,Active,Live,2024/07/30 04:00:00+00,,,Speed,30,38.91811,-77.0057,399505.87168643,138914.81196803,151944,{27076D15-FCCD-778E-E063-782F520A63DA},5.0,5F,5F04
ATE 0810,800 RIDGE RD SE NW/B,9673,Retired,Idle,2018/03/16 04:00:00+00,,,Speed,25,,,,,151945,{27076D15-FCCE-778E-E063-782F520A63DA},,,
ATE 0811,1400 BLK S CAPITOL ST SE S/B,9127,Retired,Idle,2017/05/15 04:00:00+00,,,Speed,25,,,,,151946,{27076D15-FCCF-778E-E063-782F520A63DA},,,
ATE 0812,1400 BLK S CAPITOL ST SW S/B,9127,Retired,Idle,2018/01/01 05:00:00+00,,,Speed,25,,,,,151947,{27076D15-FCD0-778E-E063-782F520A63DA},,,
ATE 0813,M St w/b @ Wisconsin Ave NW,2210,Active,Live,2024/09/05 04:00:00+00,,,Red Light,25,38.90526,-77.06228,394598.17803905,137490.18362507,151948,{27076D15-FCD1-778E-E063-782F520A63DA},2.0,2E,2E05
ATE 0814,Rhode Island Ave ne/b @ Montana Ave NE,2511,Active,Live,2024/09/05 04:00:00+00,,,Red Light,30,38.924307,-76.986027,401211.84486448,139602.80842371,151949,{27076D15-FCD2-778E-E063-782F520A63DA},5.0,5C,5C06
ATE 0815,2600 BLK MLK JR AVE SE S/B,1830,Active,Live,2024/09/20 04:00:00+00,,,Speed,25,38.924307,-76.986027,401211.84486448,139602.80842371,151950,{27076D15-FCD3-778E-E063-782F520A63DA},5.0,5C,5C06
ATE 0816,2700 BLK MLK JR AVE SE N/B,1831,Active,Live,2024/09/20 04:00:00+00,,,Speed,25,38.8549,-76.99596,400350.85263857,131898.00543217,151951,{27076D15-FCD4-778E-E063-782F520A63DA},8.0,8C,8C03
ATE 0817,S Capitol St SW/B @ MLK Jr Ave SE,2805,Active,Warning,2024/10/23 04:00:00+00,,,Red Light,35,38.83604,-77.00803,399303.0082592,129804.43709497,151952,{27076D15-FCD5-778E-E063-782F520A63DA},8.0,8D,8D01
ATE 0818,Massachusetts Ave e/b @ 9th St NW,2212,Active,Warning,2024/09/23 04:00:00+00,,,Red Light,25,38.90341,-77.02582,397760.5670172,137283.29262155,151953,{27076D15-FCD6-778E-E063-782F520A63DA},2.0,2C,2C04
ATE 0819,Bladensburg Rd s/b @ NY Ave NE,2512,Active,Warning,2024/09/23 04:00:00+00,,,Red Light,25,38.91785,-76.97227,402404.99102639,138886.29954385,151954,{27076D15-FCD7-778E-E063-782F520A63DA},5.0,5C,5C04
ATE 0820,Southern Ave ne/b @ Wheeler Rd SE,2803,Active,Warning,2024/10/23 04:00:00+00,,,Red Light,30,38.8318,-76.98757,401079.44273413,129333.8112359,151955,{27076D15-FCD8-778E-E063-782F520A63DA},8.0,8E,8E06
ATE 0821,Stanton Rd s/b @ Alabama Ave Se,2804,Active,Test,2024/09/17 04:00:00+00,,,Red Light,20,38.84726,-76.98034,401706.83077576,131050.08746811,151956,{27076D15-FCD9-778E-E063-782F520A63DA},8.0,8C,8C08
ATE 0822,RI Ave e/b @ N Capitol St NW,2510,Active,Warning,2024/10/23 04:00:00+00,,,Red Light,25,38.91655,-77.00974,399155.49703415,138741.66859039,151957,{27076D15-FCDA-778E-E063-782F520A63DA},5.0,5E,5E04
ATE 0823,3800 blk Eastern Ave NE se/b,1563,Active,Idle,2024/11/02 04:00:00+00,,,Speed,25,38.93736,-76.96612,402937.52842484,141052.25627526,151958,{27076D15-FCDB-778E-E063-782F520A63DA},5,5B,5B07
ATE 0824,3800 blk Eastern Ave NE nw/b,1564,Active,Idle,2024/11/02 04:00:00+00,,,Speed,25,38.93663,-76.96517,403019.92283148,140971.25088664,151959,{27076D15-FCDC-778E-E063-782F520A63DA},5,5B,5B07
ATE 0825,2000 blk S St NW w/b,2299,Active,Test,2024/10/01 04:00:00+00,,,One Way,20,38.913868,-77.044671,396126.0051589,138444.84722879,151960,{27076D15-FCDD-778E-E063-782F520A63DA},2.0,2B,2B01
Bus_1,,,Active,Live,,,,Bus Lane,,,,,,151961,{27076D15-FCDE-778E-E063-782F520A63DA},,,
Bus_2,,,Active,Live,,,,Bus Lane,,,,,,151962,{27076D15-FCDF-778E-E063-782F520A63DA},,,
Bus_3,,,Active,Live,,,,Bus Lane,,,,,,151963,{27076D15-FCE0-778E-E063-782F520A63DA},,,
Bus_4,,,Active,Live,,,,Bus Lane,,,,,,151964,{27076D15-FCE1-778E-E063-782F520A63DA},,,
Bus_5,,,Active,Live,,,,Bus Lane,,,,,,151965,{27076D15-FCE2-778E-E063-782F520A63DA},,,
Bus_6,,,Active,Live,,,,Bus Lane,,,,,,151966,{27076D15-FCE3-778E-E063-782F520A63DA},,,
Bus_7,,,Active,Live,,,,Bus Lane,,,,,,151967,{27076D15-FCE4-778E-E063-782F520A63DA},,,
Bus_8,,,Active,Live,,,,Bus Lane,,,,,,151968,{27076D15-FCE5-778E-E063-782F520A63DA},,,
Bus_9,,,Active,Live,,,,Bus Lane,,,,,,151969,{27076D15-FCE6-778E-E063-782F520A63DA},,,
Bus_10,,,Active,Live,,,,Bus Lane,,,,,,151970,{27076D15-FCE7-778E-E063-782F520A63DA},,,
Bus_11,,,Active,Live,,,,Bus Lane,,,,,,151971,{27076D15-FCE8-778E-E063-782F520A63DA},,,
Bus_12,,,Active,Live,,,,Bus Lane,,,,,,151972,{27076D15-FCE9-778E-E063-782F520A63DA},,,
Bus_13,,,Active,Live,,,,Bus Lane,,,,,,151973,{27076D15-FCEA-778E-E063-782F520A63DA},,,
Bus_14,,,Active,Live,,,,Bus Lane,,,,,,151974,{27076D15-FCEB-778E-E063-782F520A63DA},,,
Bus_15,,,Active,Live,,,,Bus Lane,,,,,,151975,{27076D15-FCEC-778E-E063-782F520A63DA},,,
Bus_16,,,Active,Live,,,,Bus Lane,,,,,,151976,{27076D15-FCED-778E-E063-782F520A63DA},,,
Bus_17,,,Active,Live,,,,Bus Lane,,,,,,151977,{27076D15-FCEE-778E-E063-782F520A63DA},,,
Bus_18,,,Active,Live,,,,Bus Lane,,,,,,151978,{27076D15-FCEF-778E-E063-782F520A63DA},,,
Bus_19,,,Active,Live,,,,Bus Lane,,,,,,151979,{27076D15-FCF0-778E-E063-782F520A63DA},,,
Bus_20,,,Active,Live,,,,Bus Lane,,,,,,151980,{27076D15-FCF1-778E-E063-782F520A63DA},,,
Bus_21,,,Active,Live,,,,Bus Lane,,,,,,151981,{27076D15-FCF2-778E-E063-782F520A63DA},,,
Bus_22,,,Active,Live,,,,Bus Lane,,,,,,151982,{27076D15-FCF3-778E-E063-782F520A63DA},,,
