"Date","FITLX","MKT","RF","SMB","HML","MOM","BAB","QMJ"
2023-03-29,1.43843284907785,1.39,0.02,-0.29,-0.43,-0.75,-0.45,-0.27
2023-03-30,0.510497984265745,0.54,0.02,-0.4,-0.47,-0.39,-0.19,0.42
2023-03-31,1.63656507547523,1.51,0.02,0.3,-0.83,-0.57,-0.68,-0.11
2023-04-03,0.0555323411869368,0.38,0.02,-0.17,1.06,0.8,0.92,0.57
2023-04-04,-0.665932571703565,-0.7,0.02,-1,-0.59,-1.33,-0.08,-0.19
2023-04-05,-0.27932488132385,-0.39,0.02,-0.72,1.38,0.58,1.21,0.27
2023-04-06,0.560225391724289,0.32,0.02,-0.22,-0.46,-0.69,-0.23,-0.24
2023-04-10,0.111414420255329,0.24,0.02,0.84,0.24,0.41,-0.18,0.08
2023-04-11,-0.0556559515089816,0.16,0.02,0.71,0.68,-0.18,0.15,-0.06
2023-04-12,-0.445431091945447,-0.42,0.02,-0.2,0.65,1.06,0.37,0.25
2023-04-13,1.2304323473197,1.37,0.02,-0.03,-1.01,-0.82,-0.68,0.11
2023-04-14,-0.276249072355572,-0.21,0.02,-0.53,0.3,0.48,0.12,0.37
2023-04-17,0.277014321849967,0.34,0.02,0.46,0,-0.18,-0.26,-0.8
2023-04-18,0,0.08,0.02,-0.22,-0.16,1.02,0.14,0.25
2023-04-19,-0.110501761151804,-0.04,0.02,0.13,-0.04,-0.38,-0.12,-0.23
2023-04-20,-0.608405332322404,-0.58,0.02,0.15,-0.13,1.12,0.56,0.6
2023-04-21,0.166946378180644,0.07,0.02,0.05,-0.98,-0.09,-0.22,-0.07
2023-04-24,-0.0555524704983323,0.04,0.02,-0.11,0.53,0.11,0.36,0.32
2023-04-25,-1.66759698875977,-1.71,0.02,-0.59,0.36,0.6,0.9,0.19
2023-04-26,-0.113051947719034,-0.41,0.02,-0.34,-0.89,-0.16,-0.31,0.14
2023-04-27,1.92415658096234,1.81,0.02,-0.51,0.04,-0.95,-0.39,0.5
2023-04-28,0.999453569477038,0.81,0.02,0.16,0.27,0.06,0.21,0.21
2023-05-01,0.0549722051959023,0,0.02,0.17,-0.63,1.09,0.14,-0.02
2023-05-02,-1.15384566450136,-1.26,0.02,-0.5,-1.04,1.05,0.21,0.63
2023-05-03,-0.555865662919919,-0.56,0.02,0.73,-0.66,0.08,-0.33,-0.66
2023-05-04,-0.670760889226574,-0.76,0.02,-0.57,-0.54,0.3,-0.24,-0.27
2023-05-05,1.74450310492233,1.96,0.02,0.42,0.34,-0.63,-0.63,0.09
2023-05-08,0.0553173377322524,0.12,0.02,-0.23,-0.38,0.23,-0.28,-0.32
2023-05-09,-0.442240701867647,-0.39,0.02,0.21,0.07,0.29,-0.16,-0.21
2023-05-10,0.610780752788398,0.4,0.02,0.06,-1.55,0.1,-0.63,0.07
2023-05-11,-0.165564359670489,-0.23,0.02,-0.68,-0.41,0.05,-0.06,0.45
2023-05-12,0,-0.19,0.02,-0.06,0.35,0.47,0.43,0.15
2023-05-15,0.221104350522494,0.52,0.02,0.71,-0.04,-0.77,-0.38,-0.37
2023-05-16,-0.551562681104234,-0.75,0.02,-0.53,-0.66,0.38,-0.28,0.47
2023-05-17,1.27565575178477,1.27,0.02,0.64,0.53,-1.18,-0.44,-0.41
