"Date","FITLX","MKT","RF","SMB","HML","MOM","BAB","QMJ"
2024-03-13,-0.213671956733508,-0.06,0.02,0.33,0.51,0.02,0.37,0.08
2024-03-14,-0.299784555377436,-0.43,0.02,-1.11,-0.6,0.44,0.01,0.96
2024-03-15,-0.859109781101441,-0.53,0.02,0.89,0.81,-0.55,0.42,-0.26
2024-03-18,0.823225886853063,0.51,0.02,-0.94,-0.13,0.21,-0.23,0.05
2024-03-19,0.601630369120731,0.54,0.02,0.22,-0.2,0.41,0.08,0.61
2024-03-20,0.897056784237882,1.05,0.02,0.69,0.38,0.49,-0.11,-0.36
2024-03-21,0.508039490351941,0.36,0.02,0.47,0.52,0.87,0.02,-0.01
2024-03-22,-0.126371891047805,-0.26,0.02,-0.8,-0.42,0.4,-0.31,0.38
2024-03-25,-0.379579286016074,-0.24,0.02,0.1,0.63,-0.43,0.12,-0.07
2024-03-26,-0.211689850265062,-0.21,0.02,0.14,0.14,0.12,0.33,-0.46
2024-03-27,0.593972810611354,0.92,0.02,1.03,0.88,-1.33,0.54,-0.44
2024-03-28,0.126531791665707,0.15,0.02,0.41,0.4,-0.5,0.03,0.02
2024-04-01,-0.168487820405849,-0.24,0.02,-0.6,-0.01,0.14,-0.32,0.37
2024-04-02,-0.71729987688347,-0.8,0.02,-0.68,0.47,0.2,0.2,0.29
2024-04-03,-0.127499727029479,0.21,0.02,0.33,0.4,0.36,-0.16,-0.08
2024-04-04,-1.36170082903923,-1.15,0.02,0.15,0.17,-0.75,0.12,-0.15
2024-04-05,1.07851594783706,1.06,0.02,-0.48,-0.46,1.16,-0.47,-0.04
2024-04-08,0.0426813006896509,0.02,0.02,0.46,0.13,-0.33,0.02,-0.29
2024-04-09,0.0853180459018388,0.14,0.02,0.23,-0.23,-1.32,-0.09,-0.25
2024-04-10,-0.98039024387071,-1.03,0.02,-1.17,-0.66,0.57,-0.23,0.68
2024-04-11,0.645715116169265,0.65,0.02,-0.25,-0.96,0.6,-0.72,0.3
2024-04-12,-1.45422693517372,-1.51,0.02,-0.36,-0.07,-0.46,-0.04,0.41
2024-04-15,-1.30208824864673,-1.23,0.02,-0.1,0.77,-0.39,0.57,0.39
2024-04-16,-0.13192914224921,-0.24,0.02,-0.21,-0.62,0.6,-0.31,0.15
2024-04-17,-0.660500328389846,-0.55,0.02,-0.24,0.51,-1.04,0.56,-0.51
2024-04-18,-0.310282342558976,-0.22,0.02,0.01,0.61,-0.46,0.47,-0.32
2024-04-19,-1.11160516916079,-0.69,0.02,1.09,1.88,-1.87,1.49,-0.58
2024-04-22,0.899284015277657,0.87,0.02,-0.1,-0.18,0.9,-0.01,0.09
2024-04-23,1.29233066522692,1.25,0.02,0.36,-0.49,1.26,-0.59,-0.17
2024-04-24,0,-0.04,0.02,-0.08,-0.13,-0.93,0,0.15
2024-04-25,-0.351957436503247,-0.42,0.02,-0.18,-0.15,-0.25,-0.06,0.26
2024-04-26,1.50110445171809,0.98,0.02,-0.17,-0.63,1.17,-0.79,0
2024-04-29,0.130494506064305,0.34,0.02,0.33,-0.23,-0.99,-0.15,0.13
2024-04-30,-1.52041865555952,-1.63,0.02,-0.26,-0.11,-0.2,0.53,-0.48
2024-05-01,-0.397001112858419,-0.22,0.02,0.53,-0.3,-0.55,0.05,-0.9
2024-05-02,0.797166987528652,1,0.02,0.44,0.03,0.48,-0.54,0.1
2024-05-03,1.14235600293142,1.15,0.02,-0.2,-0.59,0.02,-0.56,0.47
2024-05-06,1.17289510162721,1.12,0.02,0.17,-0.14,1.08,-0.61,-0.11
2024-05-07,0,0.08,0.02,0.04,-0.14,-0.26,0.32,0.12
2024-05-08,-0.085875727683371,-0.06,0.02,-0.33,1.07,0.34,0.1,0.37
2024-05-09,0.343789953297424,0.55,0.02,0.39,0.56,-0.29,0.28,-0.05
2024-05-10,0.299784555377447,0.08,0.02,-0.59,-0.2,-0.09,0.03,0.35
2024-05-13,-0.0853990508049463,-0.03,0.02,0.17,-0.21,-1.28,0.1,0.1
2024-05-14,0.470088086088905,0.54,0.02,0.61,-0.12,-0.02,-0.3,-0.19
2024-05-15,1.40365767968242,1.11,0.02,-0.42,-0.66,1.09,-0.39,-0.03
2024-05-16,-0.209728342032411,-0.21,0.02,-0.45,0.18,-1.02,0.51,-0.27
2024-05-17,0,0.16,0.02,-0.19,0.63,0.14,0.13,-0.37
2024-05-20,0.378302823773824,0.13,0.02,0.18,-0.93,0.42,-0.64,0.39
2024-05-21,0.293139047876778,0.18,0.02,-0.45,0.02,0.24,-0.15,0.06
2024-05-22,-0.33402889836166,-0.34,0.02,-0.49,-0.4,-0.49,0.06,-0.23
2024-05-23,-0.293261833731462,-0.83,0.02,-0.5,-0.88,1.78,-0.71,1.14
2024-05-24,0.462187453267959,0.75,0.02,0.2,0.2,0.6,-0.24,0.14
2024-05-28,0.209114334502836,-0.07,0.02,-0.07,-0.55,0.93,-1.03,0.39
2024-05-29,-0.584304653580581,-0.84,0.02,-0.48,-0.62,0.49,-0.08,0.36
2024-05-30,-1.13350319572985,-0.39,0.02,1.39,0.98,-0.71,0.97,-0.29
2024-05-31,0.806796349099725,0.74,0.02,0.12,0.78,-0.7,0.82,0.27
2024-06-03,0.126371891047805,0.01,0.02,-0.49,-0.87,-0.23,-0.43,0.15
2024-06-04,0.210345965913583,-0.08,0.02,-1.33,-0.88,-0.38,0.04,0.11
2024-06-05,1.3434076361208,1.19,0.02,0.25,-0.92,1.21,-0.88,-0.01
2024-06-06,0,-0.04,0.02,-0.31,-0.11,-0.45,-0.17,-0.19
2024-06-07,-0.165695978417724,-0.26,0.02,-0.94,-0.14,-0.22,0.36,0.52
2024-06-10,0.290455160648206,0.3,0.02,0.04,-0.39,0.95,-0.45,0.08
2024-06-11,-0.0413745504769136,0.17,0.02,-0.36,-1.29,-1.06,-0.3,0.64
2024-06-12,0.993376542359004,0.92,0.02,0.65,-0.7,0.28,-0.56,0.13
2024-06-13,0.204922726192214,-0.04,0.02,-0.95,-0.87,0.46,-0.12,0.86
2024-06-14,0.163595120370474,-0.18,0.02,-1.23,-0.66,0.28,-0.03,0.07
2024-06-17,0.653327271978177,0.76,0.02,-0.12,-0.24,-0.03,0.29,0.57
2024-06-18,0.486818827953206,0.22,0.02,-0.11,0,1.06,-0.08,0.22
2024-06-20,-0.282598681996704,-0.21,0.02,-0.2,0.87,-0.63,0.41,-0.7
2024-06-21,0.0404790332970473,-0.08,0.02,0.32,-0.17,-0.71,0.1,-0.57
2024-06-24,-0.687973189979341,-0.13,0.02,0.71,1.23,-0.7,0.88,-0.22
2024-06-25,0.774240503751433,0.28,0.02,-0.93,-1.25,1.16,-1.2,0.35
2024-06-26,0,0.12,0.02,-0.18,-0.22,-0.44,-0.34,0.13
2024-06-27,0,0.19,0.02,0.53,-0.4,-0.16,-0.27,-0.71
2024-06-28,-0.444798645527922,-0.31,0.02,0.83,0.86,-0.05,0.53,-0.32
2024-07-01,0.162465502905151,0.16,0.02,-1.02,-0.52,0.36,-0.2,0.47
2024-07-02,0.608270962929525,0.59,0.02,-0.4,0.02,-0.53,-0.26,0.14
2024-07-03,0.765822402851879,0.53,0.02,-0.23,-0.3,0.28,0.27,-0.03
2024-07-05,0.440002441406251,0.41,0.02,-0.98,-1.33,0.08,-0.64,-0.14
2024-07-08,0.199120811808884,0.14,0.02,0.37,-0.03,0.29,0.44,-0.01
2024-07-09,0.0794930758543977,-0.01,0.02,-0.59,0.25,0.33,0.37,-0.48
2024-07-10,1.07228139194333,1.01,0.02,-0.07,0.42,0.14,0.08,0.03
2024-07-11,-1.06090549968411,-0.45,0.02,3.36,1.74,-1.82,-0.08,-0.93
2024-07-12,0.754569228573687,0.62,0.02,0.53,-0.38,-0.77,0.06,0
2024-07-15,0.236497690018189,0.39,0.02,0.72,0.15,0.23,-0.19,-0.32
2024-07-16,0.432562363474198,0.9,0.02,2.07,0.66,-1.55,0.12,-0.61
2024-07-17,-1.68363465059376,-1.42,0.02,0.23,2.3,-2.74,0.18,0.1
2024-07-18,-0.716847076067284,-0.9,0.02,-0.76,0.11,0.57,0.34,0.52
2024-07-19,-0.84236257220458,-0.64,0.02,0.01,-0.21,0.37,-0.33,-0.18
2024-07-22,1.53722119203274,1.08,0.02,0.34,-0.86,0.87,0.07,-0.31
2024-07-23,-0.318724790797675,-0.06,0.02,0.66,-0.26,0.76,-0.06,-0.32
2024-07-24,-2.83773372834203,-2.27,0.02,0.14,1.89,-1.5,0.29,-0.2
2024-07-25,-0.617028473161496,-0.29,0.02,1.45,0.67,-1.7,0.29,-0.41
2024-07-26,1.1175515706495,1.13,0.02,0.5,0.04,0.01,-0.07,0.06
2024-07-29,0.204663268260186,-0.02,0.02,-0.64,-0.17,-0.35,-0.22,0.41
2024-07-30,-0.939540631279423,-0.42,0.02,0.69,1.34,-1.46,-0.32,0.29
2024-07-31,1.85567324923486,1.52,0.02,-0.72,-1.2,1.69,0.62,0.33
