"Date","AAPL","TSLA","NVDA","AMZN","MSFT","META","GOOGL","BRK.B","XOM","PFE","S.P.500"
2023-01-03,123.904632568359,108.099998474121,14.3055801391602,85.8199996948242,236.183532714844,124.365547180176,88.8998718261719,309.910003662109,100.414604187012,46.9281959533691,3824.13989257812
2023-01-04,125.182609558105,113.639999389648,14.7392959594727,85.1399993896484,225.852111816406,126.987663269043,87.862434387207,314.549987792969,100.70686340332,45.8936882019043,3852.96997070312
2023-01-05,123.855102539062,110.339996337891,14.255615234375,83.120002746582,219.158355712891,126.558952331543,85.9870834350586,312.899993896484,102.960098266602,45.4634094238281,3808.10009765625
2023-01-06,128.412231445312,113.059997558594,14.8492231369019,86.0800018310547,221.741195678711,129.629699707031,87.1242599487305,318.690002441406,104.204551696777,46.6169281005859,3895.080078125
2023-01-09,128.937286376953,119.769996643066,15.6177186965942,87.3600006103516,223.900146484375,129.081344604492,87.8025817871094,315.529998779297,102.262451171875,44.3007354736328,3892.09008789062
2023-01-10,129.511871337891,118.849998474121,15.8985328674316,89.870002746582,225.60563659668,132.590774536133,88.2015914916992,316.350006103516,103.789733886719,43.5957984924316,3919.25
2023-01-11,132.246170043945,123.220001220703,15.9904708862305,95.0899963378906,232.427536010742,132.491088867188,91.2939376831055,320.369995117188,104.996490478516,43.4401702880859,3969.61010742188
2023-01-12,132.166900634766,123.559997558594,16.5001335144043,95.2699966430664,235.128692626953,136.299621582031,90.904899597168,318.929992675781,106.740608215332,43.6781921386719,3983.169921875
2023-01-13,133.504348754883,122.400001525879,16.8878803253174,98.120002746582,235.838485717773,136.568801879883,91.892463684082,317.640014648438,106.674613952637,43.8063659667969,3999.09008789062
2023-01-17,134.673355102539,131.490005493164,17.6903533935547,96.0500030517578,236.942596435547,134.953659057617,91.0645141601562,314.859985351562,106.467208862305,42.1859474182129,3990.96997070312
2023-01-18,133.950134277344,128.779998779297,17.3655662536621,95.4599990844727,232.46696472168,132.620681762695,90.8949356079102,308.299987792969,104.279983520508,41.197208404541,3928.86010742188
2023-01-19,134.009582519531,127.169998168945,16.7539672851562,93.6800003051758,228.641967773438,135.741287231445,92.8201675415039,305.230010986328,104.949348449707,41.160587310791,3898.85009765625
2023-01-20,136.585357666016,133.419998168945,17.8272609710693,97.25,236.814453125,138.951629638672,97.7778854370117,309.869995117188,106.863166809082,41.2979125976562,3972.61010742188
2023-01-23,139.795181274414,143.75,19.1803722381592,97.5199966430664,239.141006469727,142.839935302734,99.5435180664062,310.420013427734,106.306930541992,41.178897857666,4019.81005859375
2023-01-24,141.201950073242,143.889999389648,19.2523231506348,96.3199996948242,238.608642578125,142.710311889648,97.4586715698242,311.299987792969,107.296829223633,40.9317169189453,4016.94995117188
2023-01-25,140.538177490234,144.429992675781,19.3102874755859,97.1800003051758,237.19889831543,141.075241088867,94.9848022460938,311.899993896484,106.731178283691,41.2612915039062,4016.21997070312
2023-01-26,142.618621826172,160.270004272461,19.7889709472656,99.2200012207031,244.484146118164,146.857833862305,97.2791213989258,310.950012207031,111.020790100098,40.8824996948242,4060.42993164062
2023-01-27,144.570251464844,177.899993896484,20.351598739624,102.23999786377,244.641876220703,151.28450012207,99.1245574951172,309.170013427734,108.993827819824,40.4575042724609,4070.56005859375
2023-01-30,141.667572021484,166.660003662109,19.149393081665,100.550003051758,239.269149780273,146.618545532227,96.700553894043,307.329986572266,107.061157226562,40.235767364502,4017.77001953125
2023-01-31,142.945541381836,173.220001220703,19.5241470336914,103.129997253418,244.296829223633,148.522827148438,98.5958633422852,311.519989013672,109.370948791504,40.7993431091309,4076.60009765625
2023-02-01,144.074905395508,181.410003662109,20.929220199585,105.150001525879,249.166809082031,152.660354614258,100.181938171387,310.570007324219,108.173606872559,40.6238059997559,4119.2099609375
2023-02-02,149.414703369141,188.270004272461,21.6947154998779,112.910003662109,260.848815917969,188.203338623047,107.473876953125,311.859985351562,104.7890625,40.965648651123,4179.759765625
2023-02-03,153.060409545898,189.979995727539,21.0861167907715,103.389999389648,254.687438964844,185.970062255859,104.521186828613,308.510009765625,105.515007019043,40.706958770752,4136.47998046875
2023-02-06,150.316223144531,194.759994506836,21.0751247406006,102.180000305176,253.129791259766,185.501480102539,102.64582824707,308.429992675781,105.335876464844,40.4297828674316,4111.080078125
2023-02-07,153.209014892578,196.809997558594,22.1584129333496,102.110000610352,263.766876220703,191.044784545898,107.374122619629,312.970001220703,108.343322753906,40.2727203369141,4164
2023-02-08,150.504455566406,201.289993286133,22.1903896331787,100.050003051758,262.948669433594,182.879379272461,99.1245574951172,308.480010986328,107.400550842285,40.6330451965332,4117.85986328125
2023-02-09,149.464233398438,207.320007324219,22.3223037719727,98.2399978637695,259.882720947266,177.385925292969,94.7753219604492,307.209991455078,107.805931091309,40.0417518615723,4081.5
2023-02-10,149.831344604492,196.889999389648,21.2510089874268,97.6100006103516,259.370056152344,173.627212524414,94.3364028930664,309.890014648438,112.35009765625,40.5406532287598,4090.4599609375
2023-02-13,152.649185180664,194.639999389648,21.77366065979,99.5400009155273,267.473571777344,178.891372680664,94.3763122558594,313.739990234375,111.9130859375,40.6422882080078,4137.2900390625
2023-02-14,152.004241943359,209.25,22.9558849334717,99.6999969482422,268.311492919922,178.941223144531,94.4461364746094,310.790008544922,110.602043151855,40.3928337097168,4136.1298828125
2023-02-15,154.117645263672,214.240005493164,22.7490177154541,101.160003662109,266.166931152344,176.628189086914,96.700553894043,309.630004882812,110.26953125,40.0232696533203,4147.60009765625
